id	city	lng	lat
cnl00003836	Corlay	3.0556	48.3181
cnl00004921	Dđakovo	18.4108	45.3114
cnl00005136	Heiligeswegs Poort	4.8897	52.3672
cnl00016443	Csíksomlyó	35.8167	46.3667
cnl00016643	Mindszent	20.1667	40.5167
cnl00016684	Nagyszőlős	22.5028	48.1331
cnl00016823	Szilágycseh	23.2867	47.4181
cnl00016867	Tótpróna	18.7667	48.9167
cnl00016880	Újverbász	19.8317	45.2642
cnl00016936	Cava de' Tirreni	52.5497	40.7
cnl00027044	L'Isle-sur-la-Sorgue (Vaucluse)	5.0497	45.9167
cnl00005050	Sterrenberg	7.6331	50.2131
cnl00016738	Petrozsény	232.3331	45.4167
cnl00005119	Castre lez-Hal	2.3331	48.85
cnl00005314	Nieuwekuik	5.1831	51.7
cnl00000128	Neudietendorf	10.58	50.9125
cnl00000692	Hrappsey	22.6	66.1667
cnl00000783	Kuala Lumpur	101.7	3.1331
cnl00001656	Lugny	46.4731	4.8103
cnl00001985	Dorset	2.4331	50.7167
cnl00002290	Pontefract	12.5	53.6831
cnl00002606	Newark-on-Trent	0.8092	53.0758
cnl00002877	Cazères	43.2069	1.0867
cnl00002932	Cupar Fife	3.0167	56.5331
cnl00003086	Lordelo	8.3831	41.3831
cnl00003214	Poiano di Valpantena	11.0156	45.4722
cnl00003228	Promenthoux	6.2683	46.3919
cnl00003561	Pinczów	20.5331	50.5331
cnl00005214	La Garde-Adhémar (Château de La Garde-Adhémar)	4.75	44.3997
cnl00005221	Les Herbiers	1.0167	46.8667
cnl00016635	Mezőkászony	22.4497	48.25
cnl00000711	Luarca	6.5331	43.5497
cnl00003287	Sutschau	19.0	49.1
cnl00003304	Žólkiewka	22.8331	50.8997
cnl00005329	Ijsselstein	5.0497	52.0167
cnl00005211	Bonne-Fontaine (Ardennes)	4.2331	49.7831
cnl00006379	Lovendegem	33.0	51.1
cnl00016435	Csaca	18.7831	48.4331
cnl00016686	Nagytapolcsány	48.1667	48.1667
cnl00016710	Ószéplak	18.0167	46.8997
cnl00016714	Özörény	20.3667	48.5331
cnl00016740	Poprád	49.0497	49.0497
cnl00016744	Pribóc	21.7667	42.6
cnl00016755	Rákosszentmihály	19.1669	47.8542
cnl00016764	Sajósolymos	24.6167	47.0331
cnl00016779	Sepsiszentgyörgy	25.7831	45.85
cnl00016829	Szolyva	22.9831	48.5497
cnl00016835	Tamási	18.05	47.0331
cnl00016848	Tiszafüred	20.76	474.1689
cnl00016879	Újszentanna	21.5	45.0331
cnl00016910	Zsablya	20.3917	45.3697
cnl00019634	Sèvres	2.2167	45.5
cnl00027033	Craon	0.95	47.85
cnl00027937	Arenas de San Pedro	5.0908	40.2089
cnl00016644	Miskolc	20.7831	46.1
